model_name,split,threshold,accuracy,precision,recall,f1_score,pr_auc_average_precision,roc_auc,true_positives,false_positives,false_negatives,true_negatives,positives_in_split,predicted_positive_alerts,alert_rate_percent,alerts_per_10k_transactions
XGBoost_class_weight,validation,0.84,0.9993701307437349,0.7431192660550459,0.9274809160305344,0.8251273344651953,0.9467937540721271,0.999320026048758,243,84,19,163180,262,327,0.199968,20.0
XGBoost_class_weight,validation,0.85,0.9994007069212235,0.7546583850931677,0.9274809160305344,0.8321917808219178,0.9467937540721271,0.999320026048758,243,79,19,163185,262,322,0.196911,19.69
XGBoost_class_weight,validation,0.86,0.9994068221567213,0.7586206896551724,0.9236641221374046,0.8330464716006885,0.9467937540721271,0.999320026048758,242,77,20,163187,262,319,0.195076,19.51
XGBoost_class_weight,validation,0.87,0.9994740897471962,0.7857142857142857,0.9236641221374046,0.8491228070175438,0.9467937540721271,0.999320026048758,242,66,20,163198,262,308,0.188349,18.83
XGBoost_class_weight,validation,0.88,0.9995046659246848,0.7986798679867987,0.9236641221374046,0.856637168141593,0.9467937540721271,0.999320026048758,242,61,20,163203,262,303,0.185292,18.53
XGBoost_class_weight,validation,0.89,0.999541357337671,0.8148148148148148,0.9236641221374046,0.8658318425760286,0.9467937540721271,0.999320026048758,242,55,20,163209,262,297,0.181622,18.16
XGBoost_class_weight,validation,0.9,0.999565818279662,0.825938566552901,0.9236641221374046,0.872072072072072,0.9467937540721271,0.999320026048758,242,51,20,163213,262,293,0.179176,17.92
XGBoost_class_weight,validation,0.91,0.9995841639861551,0.8344827586206897,0.9236641221374046,0.8768115942028986,0.9467937540721271,0.999320026048758,242,48,20,163216,262,290,0.177342,17.73
XGBoost_class_weight,validation,0.92,0.9996025096926483,0.8456140350877193,0.9198473282442748,0.8811700182815356,0.9467937540721271,0.999320026048758,241,44,21,163220,262,285,0.174284,17.43
XGBoost_class_weight,validation,0.93,0.9996392011056345,0.8637992831541219,0.9198473282442748,0.8909426987060998,0.9467937540721271,0.999320026048758,241,38,21,163226,262,279,0.170615,17.06
XGBoost_class_weight,validation,0.94,0.9996514315766301,0.8700361010830325,0.9198473282442748,0.8942486085343229,0.9467937540721271,0.999320026048758,241,36,21,163228,262,277,0.169392,16.94
XGBoost_class_weight,validation,0.95,0.9996636620476255,0.8791208791208791,0.916030534351145,0.897196261682243,0.9467937540721271,0.999320026048758,240,33,22,163231,262,273,0.166946,16.69
XGBoost_class_weight,validation,0.96,0.9996881229896163,0.8951310861423221,0.9122137404580153,0.9035916824196597,0.9467937540721271,0.999320026048758,239,28,23,163236,262,267,0.163277,16.33
XGBoost_class_weight,validation,0.97,0.9997064686961095,0.9147286821705426,0.9007633587786259,0.9076923076923077,0.9467937540721271,0.999320026048758,236,22,26,163242,262,258,0.157773,15.78
XGBoost_class_weight,validation,0.98,0.9997248144026026,0.9357429718875502,0.8893129770992366,0.9119373776908023,0.9467937540721271,0.999320026048758,233,16,29,163248,262,249,0.152269,15.23
XGBoost_class_weight,validation,0.99,0.9997431601090958,0.9621848739495799,0.8740458015267175,0.916,0.9467937540721271,0.999320026048758,229,9,33,163255,262,238,0.145543,14.55
